eval_mnq,funded_mnq,target,joint_payout_rate,avg_lifecycle_days,median_days_when_paid,avg_payout_when_paid,mean_net_252,median_net_252,p10_net_252,profit_prob_252,ruin_prob_252,mean_payouts_252,mean_net_60,profit_prob_60,any_payout_60,mean_net_90,profit_prob_90,any_payout_90,mean_net_180,profit_prob_180,any_payout_180
8,12,500,0.15044576523031203,12.392644873699851,23,1273.6327466666608,1600.1054915999848,1440.4247999999982,-990,0.7111666666666666,0.20583333333333334,2.574666666666667,224.02468559999716,0.45816666666666667,0.47383333333333333,468.986192399995,0.5923333333333334,0.662,1131.2942903999892,0.6983333333333334,0.8238333333333333
8,12,1000,0.14041604754829123,12.585066864784547,23.0,1419.8981142857074,1694.2954931999839,1587.1427999999887,-990,0.7161666666666666,0.20283333333333334,2.3638333333333335,232.5862679999971,0.4495,0.44966666666666666,498.9544883999948,0.6221666666666666,0.6321666666666667,1200.2334791999886,0.7045,0.8045
8,12,1500,0.13150074294205052,12.909732540861812,24.0,1668.0305491525332,1921.3179839999814,1710.0,-990,0.7155,0.20966666666666667,2.1255,286.2164531999969,0.41233333333333333,0.41233333333333333,585.836864399994,0.5935,0.5935,1387.4282927999866,0.7473333333333333,0.7835
8,12,2000,0.1188707280832095,13.273402674591383,26.0,1800.0,1735.92,1710.0,-990,0.6838333333333333,0.24066666666666667,1.8326666666666667,212.025,0.354,0.354,499.005,0.5345,0.5345,1253.625,0.7218333333333333,0.7441666666666666
9,7,500,0.19316493313521546,12.464338781575037,22.0,1048.777002692303,1859.6138972999843,1776.71789999998,-990,0.7866666666666666,0.14116666666666666,3.4248333333333334,289.6453748999969,0.548,0.5921666666666666,540.8333717999949,0.6278333333333334,0.7656666666666667,1294.6844915999889,0.752,0.893
9,7,1000,0.18090638930163447,13.158246656760772,25,1258.8306948665236,2173.5803522999818,2132.2871999999857,-990,0.8213333333333334,0.12833333333333333,3.043833333333333,336.4460498999967,0.5375,0.5391666666666667,649.6833113999942,0.706,0.7266666666666667,1524.7744685999871,0.7823333333333333,0.879
9,7,1500,0.1612184249628529,14.064635958395245,28.0,1580.1452751151994,2330.932476599981,2317.308299999968,-990,0.8023333333333333,0.14783333333333334,2.4611666666666667,307.6910618999974,0.42766666666666664,0.42766666666666664,649.4564012999945,0.6353333333333333,0.6356666666666667,1632.6579008999868,0.809,0.8433333333333334
9,7,2000,0.1474739970282318,15.084695393759286,33,1800.0,2213.865,2160.0,-990,0.7863333333333333,0.17,2.0416666666666665,195.27,0.329,0.329,553.605,0.5451666666666667,0.5451666666666667,1513.995,0.7888333333333334,0.8046666666666666
9,8,500,0.18684992570579495,12.335066864784547,22,1146.2200461232696,2081.92270320003,1968.3072000000147,-990,0.7991666666666667,0.14316666666666666,3.3343333333333334,336.1962864000055,0.5461666666666667,0.575,632.6091888000096,0.6501666666666667,0.7593333333333333,1462.5552456000214,0.7655,0.8861666666666667
9,8,1000,0.17830609212481427,12.787147102526003,23.0,1320.248430000012,2326.844704800035,2276.6976000000386,-990,0.819,0.13566666666666666,3.0476666666666667,376.24390320000595,0.5398333333333334,0.5403333333333333,720.959479200011,0.709,0.7283333333333334,1632.0589632000244,0.7831666666666667,0.8721666666666666
9,8,1500,0.16307578008915305,13.562407132243685,26,1599.4985986332736,2522.805504000039,2660.443200000014,-990,0.8035,0.14633333333333334,2.583666666666667,367.4752824000051,0.455,0.455,750.5649912000111,0.655,0.655,1753.6849560000273,0.8095,0.8455
9,8,2000,0.1448736998514116,14.332838038632987,29.0,1800.0,2277.885,2160.0,-990,0.7691666666666667,0.17683333333333334,2.112,242.04,0.3581666666666667,0.3581666666666667,619.5,0.5743333333333334,0.5743333333333334,1596.6,0.7896666666666666,0.8056666666666666
9,10,500,0.15193164933135214,11.716939078751857,22,1210.1203276283525,1551.0925589999747,1418.5619999999803,-990,0.7081666666666667,0.21083333333333334,2.7333333333333334,211.3381589999951,0.4851666666666667,0.5081666666666667,446.16338399999154,0.5895,0.6951666666666667,1092.3244259999817,0.691,0.8338333333333333
9,10,1000,0.13967310549777118,11.986998514115898,23.0,1381.8267765957332,1652.589161999973,1544.858999999964,-990,0.7151666666666666,0.21383333333333332,2.445666666666667,224.92608299999506,0.4638333333333333,0.464,471.96862799999116,0.6286666666666667,0.6445,1150.5400439999805,0.6876666666666666,0.8066666666666666
9,10,1500,0.13038632986627044,12.410475482912332,25,1596.0056410256266,1792.9195889999698,1561.2569999999882,-990,0.7065,0.21716666666666667,2.1725,241.522565999995,0.4195,0.4195,520.1702909999904,0.5995,0.5998333333333333,1264.2252299999784,0.7173333333333334,0.7836666666666666
9,10,2000,0.12444279346210996,12.898588410104011,27,1800.0,1922.82,1800.0,-990,0.7021666666666667,0.2325,1.9623333333333333,229.74,0.3735,0.3735,550.605,0.5608333333333333,0.5608333333333333,1376.805,0.7321666666666666,0.7593333333333333
9,12,500,0.14450222882615155,11.518202080237742,22,1299.5567444730018,1655.3373335999845,1543.9535999999794,-990,0.7083333333333334,0.221,2.6401666666666666,237.60478919999696,0.483,0.49933333333333335,487.42712279999483,0.607,0.6813333333333333,1161.7404275999888,0.6891666666666667,0.8171666666666667
9,12,1000,0.13558692421991084,11.650074294205051,22,1413.1163441095825,1693.160457599984,1603.249199999981,-990,0.7091666666666666,0.22683333333333333,2.445666666666667,247.433139599997,0.4701666666666667,0.4703333333333333,504.96648959999465,0.6306666666666667,0.6496666666666666,1190.8993439999886,0.681,0.795
9,12,1500,0.12815750371471024,11.957280832095096,24,1664.1115408695562,1977.0362339999806,1710.0,-990,0.7063333333333334,0.2215,2.227,277.2197339999968,0.43133333333333335,0.43133333333333335,596.8942283999938,0.6163333333333333,0.6163333333333333,1397.8349807999862,0.7276666666666667,0.7801666666666667
9,12,2000,0.11664190193164933,12.351411589895989,25.0,1800.0,1783.74,1620.0,-990,0.6651666666666667,0.2575,1.9046666666666667,230.13,0.38016666666666665,0.38016666666666665,516.255,0.5583333333333333,0.5583333333333333,1261.185,0.7053333333333334,0.7351666666666666
